country_code,iso_weekstartdate,isoyw,inf_all,inf_a,inf_b,avg_temp,humidity,pct_a,pct_b,week,season_sin,season_cos,inf_all_log,inf_a_log,inf_b_log
CHN,2005-10-24 00:00:00+00:00,200543.0,124.0,113.0,11.0,22.82587431970309,70.6935826565763,0.9112903225806452,0.0887096774193548,43.0,-0.8854560256532101,0.464723172043768,4.8283137373023015,4.736198448394496,2.4849066497880004
CHN,2005-11-28 00:00:00+00:00,200548.0,198.0,187.0,11.0,-2.4385967421896053,68.31121567875977,0.9444444444444444,0.0555555555555555,48.0,-0.4647231720437684,0.88545602565321,5.293304824724492,5.236441962829949,2.4849066497880004
CHN,2006-01-23 00:00:00+00:00,200604.0,82.0,59.0,23.0,28.12292704886264,64.50178035473645,0.7195121951219512,0.2804878048780488,4.0,0.4647231720437685,0.8854560256532099,4.418840607796598,4.0943445622221,3.1780538303479458
CHN,2006-02-27 00:00:00+00:00,200609.0,180.0,43.0,137.0,4.064026819431207,40.794530317749185,0.2388888888888889,0.7611111111111111,9.0,0.8854560256532098,0.4647231720437686,5.198497031265826,3.784189633918261,4.927253685157205
CHN,2006-09-25 00:00:00+00:00,200639.0,26.0,18.0,8.0,5.19231368179819,71.14223112923654,0.6923076923076923,0.3076923076923077,39.0,-1.0,-1.8369701987210294e-16,3.295836866004329,2.9444389791664403,2.1972245773362196
CHN,2006-10-16 00:00:00+00:00,200642.0,8.0,8.0,0.0,21.53703714233795,49.14630174513624,1.0,0.0,42.0,-0.9350162426854148,0.3546048870425355,2.1972245773362196,2.1972245773362196,0.0
CHN,2006-10-30 00:00:00+00:00,200644.0,22.0,11.0,11.0,-1.9840262236620316,76.18330754960769,0.5,0.5,44.0,-0.822983865893657,0.5680647467311548,3.1354942159291497,2.4849066497880004,2.4849066497880004
CHN,2006-11-20 00:00:00+00:00,200647.0,21.0,17.0,4.0,10.176776555682908,40.79703770800572,0.8095238095238095,0.1904761904761904,47.0,-0.5680647467311559,0.8229838658936564,3.091042453358316,2.8903717578961645,1.6094379124341003
CHN,2006-12-04 00:00:00+00:00,200649.0,82.0,65.0,17.0,-1.6501091273023916,40.211885416585936,0.7926829268292683,0.2073170731707317,49.0,-0.3546048870425359,0.9350162426854148,4.418840607796598,4.189654742026425,2.8903717578961645
CHN,2006-12-25 00:00:00+00:00,200652.0,283.0,247.0,36.0,21.815944316143995,84.32298377911373,0.872791519434629,0.127208480565371,52.0,6.432490598706546e-16,1.0,5.648974238161206,5.5134287461649825,3.6109179126442243
CHN,2007-01-29 00:00:00+00:00,200705.0,259.0,232.0,27.0,18.397432251405707,89.57271156748467,0.8957528957528957,0.1042471042471042,5.0,0.5680647467311558,0.8229838658936564,5.560681631015528,5.4510384535657,3.332204510175204
CHN,2007-03-05 00:00:00+00:00,200710.0,74.0,52.0,22.0,18.42014864377318,84.11265625165878,0.7027027027027027,0.2972972972972973,10.0,0.9350162426854148,0.3546048870425355,4.31748811353631,3.970291913552122,3.1354942159291497
CHN,2007-10-01 00:00:00+00:00,200740.0,2.0,0.0,2.0,23.07986509343945,63.17897397230074,0.0,1.0,40.0,-0.992708874098054,0.1205366802553232,1.0986122886681098,0.0,1.0986122886681098
CHN,2007-10-22 00:00:00+00:00,200743.0,25.0,8.0,17.0,9.657662923708244,85.21143236404933,0.32,0.68,43.0,-0.8854560256532101,0.464723172043768,3.258096538021482,2.1972245773362196,2.8903717578961645
CHN,2007-11-05 00:00:00+00:00,200745.0,60.0,19.0,41.0,24.45260242971155,65.76409413252657,0.3166666666666666,0.6833333333333333,45.0,-0.7485107481711011,0.6631226582407953,4.110873864173311,2.995732273553991,3.7376696182833684
CHN,2007-11-26 00:00:00+00:00,200748.0,26.0,0.0,26.0,22.88121104549895,41.65820627210668,0.0,1.0,48.0,-0.4647231720437684,0.88545602565321,3.295836866004329,0.0,3.295836866004329
CHN,2007-12-31 00:00:00+00:00,200801.0,82.0,36.0,46.0,4.221411282223258,74.77081086977637,0.4390243902439024,0.5609756097560976,1.0,0.120536680255323,0.992708874098054,4.418840607796598,3.6109179126442243,3.8501476017100584
CHN,2008-01-21 00:00:00+00:00,200804.0,144.0,21.0,123.0,17.540880816249356,52.84021190180851,0.1458333333333333,0.8541666666666666,4.0,0.4647231720437685,0.8854560256532099,4.976733742420574,3.091042453358316,4.820281565605037
CHN,2008-02-04 00:00:00+00:00,200806.0,,0.0,0.0,26.38585078379316,41.65043323418371,,,6.0,0.6631226582407952,0.7485107481711011,,0.0,0.0
CHN,2008-02-25 00:00:00+00:00,200809.0,138.0,43.0,95.0,-2.975574859781372,45.67944427352469,0.3115942028985507,0.6884057971014492,9.0,0.8854560256532098,0.4647231720437686,4.9344739331306915,3.784189633918261,4.564348191467836
CHN,2008-03-10 00:00:00+00:00,200811.0,180.0,58.0,122.0,9.62339248933834,86.02554261634818,0.3222222222222222,0.6777777777777778,11.0,0.970941817426052,0.239315664287558,5.198497031265826,4.07753744390572,4.812184355372417
CHN,2008-03-31 00:00:00+00:00,200814.0,88.0,34.0,54.0,18.848315081706794,51.9873890849471,0.3863636363636363,0.6136363636363636,14.0,0.992708874098054,-0.1205366802553228,4.48863636973214,3.5553480614894135,4.007333185232471
CHN,2008-09-22 00:00:00+00:00,200839.0,,0.0,0.0,10.420157763099796,84.77846610094913,,,39.0,-1.0,-1.8369701987210294e-16,,0.0,0.0
