country_code,iso_weekstartdate,isoyw,inf_all,inf_a,inf_b,avg_temp,humidity,pct_a,pct_b,week,season_sin,season_cos,inf_all_log,inf_a_log,inf_b_log
IND,2021-11-22 00:00:00+00:00,202147.0,14.0,6.0,8.0,3.0168137621794457,86.59338681466069,0.4285714285714285,0.5714285714285714,47.0,-0.5680647467311559,0.8229838658936564,2.70805020110221,1.9459101490553132,2.1972245773362196
IND,2021-11-22 00:00:00+00:00,202147.0,14.0,6.0,8.0,-2.402052687654634,70.58107656616417,0.4285714285714285,0.5714285714285714,47.0,-0.5680647467311559,0.8229838658936564,2.70805020110221,1.9459101490553132,2.1972245773362196
IND,2021-12-27 00:00:00+00:00,202152.0,9.0,3.0,6.0,25.750849580250108,47.64274783960252,0.3333333333333333,0.6666666666666666,52.0,6.432490598706546e-16,1.0,2.302585092994046,1.3862943611198906,1.9459101490553132
IND,2021-12-27 00:00:00+00:00,202152.0,9.0,3.0,6.0,6.457360124937255,69.32728906362705,0.3333333333333333,0.6666666666666666,52.0,6.432490598706546e-16,1.0,2.302585092994046,1.3862943611198906,1.9459101490553132
IND,2022-01-17 00:00:00+00:00,202203.0,,,,28.34425374530092,67.43185108158512,,,3.0,0.3546048870425356,0.9350162426854148,,,
IND,2022-01-17 00:00:00+00:00,202203.0,,,,25.47362697607983,78.67307689378706,,,3.0,0.3546048870425356,0.9350162426854148,,,
IND,2022-01-17 00:00:00+00:00,202203.0,,,,19.4101221426505,74.6423845972039,,,3.0,0.3546048870425356,0.9350162426854148,,,
IND,2022-01-31 00:00:00+00:00,202205.0,,,,24.35200268619934,86.43143049079704,,,5.0,0.5680647467311558,0.8229838658936564,,,
IND,2022-01-31 00:00:00+00:00,202205.0,,,,20.271463584062985,72.54486436665967,,,5.0,0.5680647467311558,0.8229838658936564,,,
IND,2022-01-31 00:00:00+00:00,202205.0,,,,-0.4165447118410914,81.91224426765939,,,5.0,0.5680647467311558,0.8229838658936564,,,
IND,2022-02-21 00:00:00+00:00,202208.0,,,,29.40978329118129,67.12911405547116,,,8.0,0.8229838658936564,0.5680647467311558,,,
IND,2022-02-21 00:00:00+00:00,202208.0,,,,5.866652036411357,53.15802057579161,,,8.0,0.8229838658936564,0.5680647467311558,,,
IND,2022-02-21 00:00:00+00:00,202208.0,,,,9.572144500518332,60.34223274150009,,,8.0,0.8229838658936564,0.5680647467311558,,,
IND,2022-03-07 00:00:00+00:00,202210.0,,,,6.918592118442607,88.76562425767052,,,10.0,0.9350162426854148,0.3546048870425355,,,
IND,2022-03-07 00:00:00+00:00,202210.0,,,,28.155484545435808,40.79848898039995,,,10.0,0.9350162426854148,0.3546048870425355,,,
IND,2022-03-07 00:00:00+00:00,202210.0,,,,-3.8082872652312,44.44937176754186,,,10.0,0.9350162426854148,0.3546048870425355,,,
IND,2022-03-28 00:00:00+00:00,202213.0,,,,18.40822857991335,51.50443986423094,,,13.0,1.0,-1.6081226496766366e-16,,,
IND,2022-03-28 00:00:00+00:00,202213.0,,,,14.78621622419399,43.032033364229456,,,13.0,1.0,-1.6081226496766366e-16,,,
IND,2022-03-28 00:00:00+00:00,202213.0,,,,27.9712894754488,56.538372101920416,,,13.0,1.0,-1.6081226496766366e-16,,,
IND,2022-04-11 00:00:00+00:00,202215.0,,,,24.951563242371016,62.31884510765576,,,15.0,0.970941817426052,-0.2393156642875575,,,
IND,2022-04-11 00:00:00+00:00,202215.0,,,,29.2320082286836,52.50435741483948,,,15.0,0.970941817426052,-0.2393156642875575,,,
IND,2022-04-11 00:00:00+00:00,202215.0,,,,23.86660580960461,55.48199924138309,,,15.0,0.970941817426052,-0.2393156642875575,,,
IND,2022-05-02 00:00:00+00:00,202218.0,1.0,1.0,,-0.2192455494229411,54.75455006848234,1.0,,18.0,0.8229838658936565,-0.5680647467311557,0.6931471805599453,0.6931471805599453,
IND,2022-05-02 00:00:00+00:00,202218.0,1.0,1.0,,17.983399370159617,50.84319028299806,1.0,,18.0,0.8229838658936565,-0.5680647467311557,0.6931471805599453,0.6931471805599453,
IND,2022-05-02 00:00:00+00:00,202218.0,1.0,1.0,,29.56844495860148,61.86180516718737,1.0,,18.0,0.8229838658936565,-0.5680647467311557,0.6931471805599453,0.6931471805599453,
IND,2022-05-16 00:00:00+00:00,202220.0,1.0,1.0,,2.908264022356481,78.33550545002916,1.0,,20.0,0.6631226582407952,-0.7485107481711012,0.6931471805599453,0.6931471805599453,
IND,2022-05-16 00:00:00+00:00,202220.0,1.0,1.0,,11.535144761277712,68.94228250486061,1.0,,20.0,0.6631226582407952,-0.7485107481711012,0.6931471805599453,0.6931471805599453,
IND,2022-05-16 00:00:00+00:00,202220.0,1.0,1.0,,21.77708130245206,70.00447180239881,1.0,,20.0,0.6631226582407952,-0.7485107481711012,0.6931471805599453,0.6931471805599453,
IND,2022-06-06 00:00:00+00:00,202223.0,2.0,2.0,,19.189366419057713,45.8272666125609,1.0,,23.0,0.3546048870425358,-0.9350162426854148,1.0986122886681098,1.0986122886681098,
IND,2022-06-06 00:00:00+00:00,202223.0,2.0,2.0,,-2.113285155262136,86.92862631126054,1.0,,23.0,0.3546048870425358,-0.9350162426854148,1.0986122886681098,1.0986122886681098,
IND,2022-06-06 00:00:00+00:00,202223.0,2.0,2.0,,5.630353685622449,45.45817200017065,1.0,,23.0,0.3546048870425358,-0.9350162426854148,1.0986122886681098,1.0986122886681098,
IND,2022-06-20 00:00:00+00:00,202225.0,,,,20.147707679925233,79.15303246391434,,,25.0,0.120536680255323,-0.992708874098054,,,
IND,2022-06-20 00:00:00+00:00,202225.0,,,,16.93849138026692,80.10492912179015,,,25.0,0.120536680255323,-0.992708874098054,,,
IND,2022-06-20 00:00:00+00:00,202225.0,,,,22.89737314523555,87.2789431517622,,,25.0,0.120536680255323,-0.992708874098054,,,
IND,2022-07-11 00:00:00+00:00,202228.0,5.0,5.0,,21.975727892199785,61.27735836217135,1.0,,28.0,-0.2393156642875574,-0.970941817426052,1.791759469228055,1.791759469228055,
IND,2022-07-11 00:00:00+00:00,202228.0,5.0,5.0,,7.871714791956361,88.36933447945002,1.0,,28.0,-0.2393156642875574,-0.970941817426052,1.791759469228055,1.791759469228055,
