iso_year,iso_week,inf_all_log,temperature,relative_humidity,wind_speed
2002,1,2.1972245773362196,2.5856363636363637,88.04242424242425,2.9060606060606062
2002,6,1.6094379124341003,2.728433734939759,79.55421686746988,3.6090361445783135
2002,11,1.6094379124341003,2.8147590361445785,76.58433734939759,3.998795180722891
2002,31,,2.7767295597484276,84.13836477987421,2.488050314465409
2007,3,2.302585092994046,2.5182738095238095,95.75595238095238,1.325595238095238
2007,8,2.6390573296152584,2.7582738095238093,85.41666666666667,2.169642857142857
2007,13,2.302585092994046,2.7451190476190477,85.39880952380952,0.8452380952380952
2007,18,2.6390573296152584,2.7598214285714286,87.07738095238095,1.061904761904762
2007,23,2.1972245773362196,2.8445833333333335,84.11904761904762,1.124404761904762
2007,28,2.0794415416798357,2.858392857142857,81.47619047619048,1.9279761904761905
2007,31,1.3862943611198906,2.623392857142857,90.85119047619048,0.6928571428571428
2007,33,1.6094379124341003,2.8729166666666663,79.8452380952381,2.4601190476190475
2007,36,0.6931471805599453,2.7382781456953644,86.26490066225166,2.486092715231788
2007,38,1.3862943611198906,2.7345238095238096,85.54166666666667,1.6730538922155689
2007,41,1.3862943611198906,2.8485714285714288,82.58333333333333,2.3291666666666666
2007,43,,2.738035714285714,83.47619047619048,1.5089285714285714
2007,46,1.0986122886681098,2.678502994011976,87.62275449101796,0.9347305389221556
2007,48,1.3862943611198906,2.72748502994012,86.24550898203593,1.0844311377245508
2007,51,1.0986122886681098,2.6381547619047616,89.75,1.3976190476190478
2008,4,3.4339872044851463,2.7182142857142857,82.60714285714286,1.9238095238095236
2008,9,3.295836866004329,2.729285714285714,81.0,2.557142857142857
2008,12,3.7376696182833684,2.6182738095238096,89.1547619047619,1.7845238095238096
2008,14,3.8501476017100584,2.801309523809524,82.22619047619048,1.763095238095238
2008,17,4.189654742026425,2.8167261904761904,82.36309523809524,1.4553571428571428
2008,19,4.820281565605037,2.917321428571429,77.38095238095238,1.5214285714285714
2008,22,3.713572066704308,2.9275,78.0952380952381,2.2869047619047618
2008,24,3.784189633918261,2.7494642857142857,85.51785714285714,1.0089285714285714
2008,27,2.833213344056216,2.8833333333333333,78.74404761904762,2.3767857142857145
2008,29,3.4657359027997265,2.765654761904762,83.0952380952381,1.905357142857143
2008,32,2.995732273553991,2.893333333333333,78.33333333333333,3.3857142857142852
2008,34,2.833213344056216,2.784047619047619,81.80357142857143,2.3892857142857142
2008,37,3.1354942159291497,2.694642857142857,85.64285714285714,1.4160714285714286
2008,42,1.791759469228055,2.780059523809524,83.70833333333333,1.1767857142857143
2008,47,2.1972245773362196,2.6875,88.48214285714286,1.1422619047619047
2008,52,1.0986122886681098,2.7092261904761905,80.54761904761905,3.1178571428571424
2009,3,1.0986122886681098,2.6866666666666665,80.01785714285714,3.163095238095238
2009,5,0.6931471805599453,2.7057738095238095,79.55952380952381,3.4583333333333335
2009,8,2.6390573296152584,2.7930952380952383,80.89880952380952,1.7184523809523808
2009,10,2.70805020110221,2.682682926829268,87.46341463414635,1.3128048780487809
2009,13,3.4011973816621555,2.7455357142857144,84.26785714285714,1.774404761904762
2009,15,2.833213344056216,2.8339285714285714,82.75595238095238,1.6928571428571426
2009,18,5.236441962829949,2.94748502994012,76.26347305389221,1.995808383233533
2009,20,4.8283137373023015,2.845773809523809,83.23214285714286,1.6928571428571426
